epoch,loss,val_loss
0,-0.779244689465,-0.79251715374
1,-1.06970536402,-0.649030415058
2,-1.1477911744,7.67441530609
3,-1.19466165148,-0.0383187070668
4,-1.23028511531,0.688325541496
5,-1.26621270568,2.5572974575
6,-1.33912423619,-0.833178991508
7,-1.36317863642,-1.30638839455
8,-1.37715916144,-0.0133515440822
9,-1.41042035327,10.5879104858
10,-1.44564510142,-0.624412949753
11,-1.46212330513,-1.15845323715
12,-1.47445630095,3.29625791855
13,-1.48317034628,-1.39792231274
14,-1.4892370562,-0.616218800163
15,-1.49749679845,0.0400317600727
16,-1.50474551449,-0.736490786743
