epoch,loss,val_loss
0,0.0241050303759,-0.162552348749
1,-0.294785051285,-0.339732394462
2,-0.397725008798,-0.409280961413
3,-0.459412089428,-0.472282127513
4,-0.503579461274,-0.506145199479
5,-0.538032591538,-0.543581204393
6,-0.566267183433,-0.587080266105
7,-0.59101750774,-0.588647007773
8,-0.611189452677,-0.600147562398
9,-0.628841065101,-0.59933989225
10,-0.644784087194,-0.63225069898
11,-0.659360101918,-0.628118281979
12,-0.672371030732,-0.657985390123
13,-0.682248149895,-0.681639454344
14,-0.692549532788,-0.692161279668
15,-0.703324188284,-0.563526672226
16,-0.711601434132,-0.630362640423
17,-0.718974341235,-0.670885948584
18,-0.729137929574,-0.635316114892
19,-0.735773447677,-0.725150861454
20,-0.745663174324,-0.755503043217
21,-0.752712782163,-0.676903036488
22,-0.757701560738,-0.708888245201
23,-0.764140216869,-0.762627197499
24,-0.769776010195,-0.750696514553
25,-0.776273182485,-0.788688116222
26,-0.781107591283,-0.532541352929
27,-0.785956129258,-0.649698834885
28,-0.790837798124,-0.774985872502
29,-0.796660470425,-0.735870867803
30,-0.800173854712,-0.725196157837
31,-0.805176932122,-0.777899970743
32,-0.809085207609,-0.804563317797
33,-0.813671857896,-0.764157512146
