epoch,loss,val_loss
0,-0.838028875028,0.642185875596
1,-1.05241641155,inf
2,-1.15176866031,0.779135790189
3,-1.28976572649,inf
4,-1.32305899399,inf
5,-1.40823018905,inf
6,-1.4206137182,-0.168488943921
7,-1.49190850356,4.50320449261
8,-1.51550902552,-0.280983030223
9,-1.53084788595,0.0953862726423
10,-1.52426903737,-0.523566303147
11,-1.55123832168,inf
12,-1.56468603471,inf
13,-1.56580957885,inf
14,-1.53126323474,inf
15,-1.56850316279,-0.976675765504
16,-1.59377364779,inf
17,-1.62498351795,-0.100969693915
18,-1.64884571109,1.08519105593
19,-1.64738252779,-1.18266632012
20,-1.66299527246,-1.23465802061
21,-1.66796375136,-0.96234822358
22,-1.66803516701,-0.973672074593
23,-1.67852857112,-0.694852962356
24,-1.6860086778,-1.12700129401
25,-1.68812686739,-1.03812329572
26,-1.69360044949,-1.41089440458
27,-1.68094645033,inf
28,-1.68916355417,-1.07401330695
29,-1.70133759748,-1.49894952677
30,-1.70558612394,-0.334279700057
31,-1.69128107819,-0.787114091979
32,-1.70487064825,-0.941957388952
33,-1.70892393451,-1.21031324276
34,-1.71561446664,-1.19763550171
35,-1.71931534686,1.13411035103
36,-1.71571359933,-0.170504504649
37,-1.72087087607,-0.458708857229
38,-1.72517899114,-0.446240628582
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,nan,nan
45,nan,nan
46,nan,nan
47,nan,nan
48,nan,nan
49,nan,nan
