epoch,loss,val_loss
0,-1.18684908822,-0.98689224845
1,-1.33537143424,1.066664882
2,-1.34610300238,0.208735686747
3,-1.35379065656,-1.18191089467
4,-1.35602205767,5.45880832299
5,-1.35735498358,-0.926887994734
6,-1.36059541884,2.29620423703
7,-1.36169869214,-0.388195752615
8,-1.36330018001,-0.78430461198
9,-1.36250415204,1.67836475135
10,-1.36555858617,-0.444957497787
11,-1.36540026694,0.312363357949
12,-1.36680132651,-0.284304421658
13,-1.3658513734,-1.06913401019
14,-1.3679641636,-0.391196003723
15,-1.36835431385,-1.15792241404
16,-1.36819437738,6.32123642849
17,-1.36926641032,1.44578405245
18,-1.36949216235,-0.507332556788
19,-1.37002255882,-0.154392771244
20,-1.37022622898,-1.07008441149
21,-1.37056571602,-0.00340070933236
22,-1.36917074212,2.71093993662
23,-1.37118445101,0.312727681838
24,-1.37108775516,inf
25,-1.37057710533,-1.00460558277
26,-1.37179500466,-0.826576716985
27,-1.37174650789,-1.26677172351
28,-1.37159909635,-0.435909794362
29,-1.37341100209,-0.45188396688
30,-1.37272679062,-0.201613566335
31,-1.37292098523,0.704025019307
32,-1.41376454694,0.437284777806
33,-1.41574386755,-0.207742211215
34,-1.41494713366,-0.925932425202
35,-1.41482968737,-1.38733184969
36,-1.41588935784,-0.789391404131
37,-1.4156500448,0.16698652135
38,-1.41418215017,-1.16302981947
39,-1.41651764433,-1.28634096319
40,-1.4157127706,inf
41,-1.41594532076,-0.288465691736
42,-1.41531101926,-0.36677535731
43,-1.41674196151,-0.582516460779
44,-1.41612279614,-1.32878856939
45,-1.41654291297,inf
46,-1.4165169106,-0.682925844998
47,-1.41644976966,-0.394147626273
48,-1.41587341557,-1.1578777927
49,-1.41829934645,-0.718867055342
